,year,fips,state,state_po,county,office,candidate,party,candidatevotes,totalvotes,version,democrat_candidate,democrat_votes,republican_candidate,republican_votes,green_candidate,green_votes,other_candidate,other_votes,dem_share,rep_share
12803,2016,13087,Georgia,GA,Decatur,President,Hillary Clinton,democrat,4124.0,10286,20191203,Hillary Clinton,4124.0,Donald Trump,6020.0,,,Other,142.0,0.40093330740812755,0.585261520513319
12804,2016,13089,Georgia,GA,DeKalb,President,Hillary Clinton,democrat,251370.0,314757,20191203,Hillary Clinton,251370.0,Donald Trump,51468.0,,,Other,11919.0,0.7986160752580562,0.16351661758118166
12805,2016,13091,Georgia,GA,Dodge,President,Hillary Clinton,democrat,1839.0,7009,20191203,Hillary Clinton,1839.0,Donald Trump,5021.0,,,Other,149.0,0.26237694392923383,0.7163646739905836
12806,2016,13093,Georgia,GA,Dooly,President,Hillary Clinton,democrat,1872.0,3859,20191203,Hillary Clinton,1872.0,Donald Trump,1951.0,,,Other,36.0,0.4850997667789583,0.5055713915522156
12807,2016,13095,Georgia,GA,Dougherty,President,Hillary Clinton,democrat,23311.0,34087,20191203,Hillary Clinton,23311.0,Donald Trump,10232.0,,,Other,544.0,0.6838677501686861,0.3001730865139203
12808,2016,13097,Georgia,GA,Douglas,President,Hillary Clinton,democrat,31005.0,57738,20191203,Hillary Clinton,31005.0,Donald Trump,24817.0,,,Other,1916.0,0.5369947001974437,0.4298209151685199
12809,2016,13099,Georgia,GA,Early,President,Hillary Clinton,democrat,2168.0,4785,20191203,Hillary Clinton,2168.0,Donald Trump,2552.0,,,Other,65.0,0.45308254963427375,0.5333333333333333
12810,2016,13101,Georgia,GA,Echols,President,Hillary Clinton,democrat,156.0,1182,20191203,Hillary Clinton,156.0,Donald Trump,1007.0,,,Other,19.0,0.1319796954314721,0.8519458544839256
12811,2016,13103,Georgia,GA,Effingham,President,Hillary Clinton,democrat,4853.0,23458,20191203,Hillary Clinton,4853.0,Donald Trump,17874.0,,,Other,731.0,0.20688038195924632,0.7619575411373518
12812,2016,13105,Georgia,GA,Elbert,President,Hillary Clinton,democrat,2539.0,7987,20191203,Hillary Clinton,2539.0,Donald Trump,5292.0,,,Other,156.0,0.3178915738074371,0.6625766871165644
12813,2016,13107,Georgia,GA,Emanuel,President,Hillary Clinton,democrat,2435.0,7860,20191203,Hillary Clinton,2435.0,Donald Trump,5335.0,,,Other,90.0,0.3097964376590331,0.6787531806615776
12814,2016,13109,Georgia,GA,Evans,President,Hillary Clinton,democrat,1130.0,3613,20191203,Hillary Clinton,1130.0,Donald Trump,2404.0,,,Other,79.0,0.3127594796567949,0.6653750345972875
12815,2016,13111,Georgia,GA,Fannin,President,Hillary Clinton,democrat,1923.0,11812,20191203,Hillary Clinton,1923.0,Donald Trump,9632.0,,,Other,257.0,0.16280054182187606,0.81544192346766
12816,2016,13113,Georgia,GA,Fayette,President,Hillary Clinton,democrat,23284.0,60913,20191203,Hillary Clinton,23284.0,Donald Trump,35048.0,,,Other,2581.0,0.38225009439692675,0.5753779981284783
12817,2016,13115,Georgia,GA,Floyd,President,Hillary Clinton,democrat,9159.0,34608,20191203,Hillary Clinton,9159.0,Donald Trump,24114.0,,,Other,1335.0,0.2646497919556172,0.6967753120665742
12818,2016,13117,Georgia,GA,Forsyth,President,Hillary Clinton,democrat,23462.0,98221,20191203,Hillary Clinton,23462.0,Donald Trump,69851.0,,,Other,4908.0,0.23886948819498885,0.7111615642276091
12819,2016,13119,Georgia,GA,Franklin,President,Hillary Clinton,democrat,1243.0,8502,20191203,Hillary Clinton,1243.0,Donald Trump,7054.0,,,Other,205.0,0.14620089390731592,0.829687132439426
